iter	RMSE
0	23.09599115
1	21.68887706
2	20.43713032
3	19.25077984
4	18.31928017
5	17.30128778
6	16.34726199
7	15.48639292
8	14.77924035
9	14.10156068
10	13.47241125
11	12.82422561
12	12.21709534
13	11.62569461
14	11.08708634
15	10.66879311
16	10.17236399
17	9.754172732
18	9.312128703
19	8.957731357
20	8.613974324
21	8.260149808
22	7.947562217
23	7.677285065
24	7.425493599
25	7.164964748
26	6.941270079
27	6.710257197
28	6.464717058
29	6.280823851
30	6.087928835
31	5.907226004
32	5.721442383
33	5.549030593
34	5.395847866
35	5.23414159
36	5.087547079
37	4.930999293
38	4.807971627
39	4.68763451
40	4.559706718
41	4.437670752
42	4.327308272
43	4.217395908
44	4.135727823
45	4.018009451
46	3.916064002
47	3.837297238
48	3.747558437
49	3.661167171
50	3.564043238
51	3.478597118
52	3.397663557
53	3.306674935
54	3.228773618
55	3.166173308
56	3.104617307
57	3.047691435
58	2.984648706
59	2.939539137
60	2.897358182
61	2.847930332
62	2.802590356
63	2.762928769
64	2.696678556
65	2.635701227
66	2.582095767
67	2.530286391
68	2.484011208
69	2.438751682
70	2.39885044
71	2.338022443
72	2.296386955
73	2.244072104
74	2.209574836
75	2.158390612
76	2.120259293
77	2.079030428
78	2.037894319
79	1.999720792
80	1.961343267
81	1.934966888
82	1.909029542
83	1.867932452
84	1.832523113
85	1.800715396
86	1.769321808
87	1.732913693
88	1.703036057
89	1.673196195
90	1.634655925
91	1.612783291
92	1.588452945
93	1.553985302
94	1.524357518
95	1.500941219
96	1.47573943
97	1.441584022
98	1.422889347
99	1.401825561
100	1.365795047
101	1.34216663
102	1.324780556
103	1.306940302
104	1.281006186
105	1.258217556
106	1.239442322
107	1.2236179
108	1.193253117
109	1.171826709
110	1.152203444
111	1.126008822
112	1.104870361
113	1.082609771
114	1.07027604
115	1.050644386
116	1.028402715
117	0.9970032913
118	0.9824278082
119	0.9727188012
120	0.9558451525
121	0.9361142814
122	0.9189773396
123	0.9021397391
124	0.8870927435
125	0.873667985
126	0.8612947467
127	0.8464488086
128	0.8302312135
129	0.8130044586
130	0.7958547141
131	0.7794788002
132	0.7672884795
133	0.7553883812
134	0.7400223422
135	0.7268165307
136	0.7179220437
137	0.7073415141
138	0.6963115501
139	0.6823895519
140	0.6687184238
141	0.6567228704
142	0.6473497165
143	0.6376996754
144	0.6261405731
145	0.6196817094
146	0.609854956
147	0.598492379
148	0.5908953704
149	0.5807465851
150	0.5728510987
151	0.5632527002
152	0.5568246581
153	0.5443776567
154	0.5337733908
155	0.5245221533
156	0.5182559021
157	0.5119876115
158	0.5040890268
159	0.4986001301
160	0.4930679244
161	0.4799836154
162	0.4701056985
163	0.4639075066
164	0.4561931006
165	0.4489254357
166	0.4426427899
167	0.4369581881
168	0.4282075743
169	0.4199062635
170	0.4151312054
171	0.4087734711
172	0.4023472424
173	0.3926132762
174	0.3874002484
175	0.3826288166
176	0.374898888
177	0.369517392
178	0.3650591898
179	0.3581492928
180	0.3528810917
181	0.3470956723
182	0.3412098394
183	0.3352305598
184	0.3295234594
185	0.3250277691
186	0.3203573986
187	0.3163590681
188	0.3137976282
189	0.3074744541
190	0.3040362533
191	0.2996091268
192	0.2962617475
193	0.2906069453
194	0.2859299845
195	0.2824637435
196	0.278211962
197	0.2734920867
198	0.2697067783
199	0.2659753917
200	0.2613974413
201	0.2570716985
202	0.2540917733
203	0.2512160253
204	0.2488446292
205	0.2445550033
206	0.2412056382
207	0.2380547374
208	0.2346298528
209	0.2316799073
210	0.2287028695
211	0.2254047968
212	0.2217362153
213	0.2199215028
214	0.2163854125
215	0.2130340759
216	0.2097218804
217	0.2074037001
218	0.2037860919
219	0.2005914502
220	0.1975048809
221	0.1943117017
222	0.1912572136
223	0.1886752895
224	0.1859571234
225	0.1831836992
226	0.1805773791
227	0.1780558776
228	0.1751824999
229	0.1720536297
230	0.1697297726
231	0.1665338473
232	0.1639357891
233	0.1617399541
234	0.1595838476
235	0.1569518156
236	0.1544952681
237	0.1522366257
238	0.1508048689
239	0.1483125471
240	0.1465476692
241	0.1445458785
242	0.1425656743
243	0.1406178002
244	0.1383622769
245	0.136480312
246	0.1341916689
247	0.1326758373
248	0.131024853
249	0.1291676988
250	0.1272398414
251	0.1253893582
252	0.1242813857
253	0.1227179457
254	0.1210986142
255	0.1195647311
256	0.1176472512
257	0.1166925086
258	0.1145659031
259	0.113017684
260	0.1112649633
261	0.1102078144
262	0.1084838503
263	0.1063781468
264	0.1053501114
265	0.103568969
266	0.102163593
267	0.1005768775
268	0.09902244987
269	0.09827405055
270	0.0967460344
271	0.09569365506
272	0.09445018007
273	0.09291612646
274	0.09167261442
275	0.09081308381
276	0.0893094472
277	0.08775020606
278	0.08662106939
279	0.0852265467
280	0.08420153224
281	0.08285321106
282	0.08147586072
283	0.08014460767
284	0.07883149735
285	0.07806864611
286	0.07698141472
287	0.07577001612
288	0.07519218618
289	0.07405461582
290	0.07353751969
291	0.0727495872
292	0.07151943459
293	0.07051153474
294	0.06971416808
295	0.0685625261
296	0.06774701093
297	0.06723455
298	0.06656941589
299	0.06590164003
